type,coords
church,"[(126.9116841, 37.6089541), (126.9117529, 37.6092245), (126.911788, 37.6092688), (126.9119525, 37.609236), (126.9118499, 37.6089127), (126.9116841, 37.6089541)]"
school,"[(126.9216308, 37.5849782), (126.9220958, 37.5857092), (126.9222208, 37.5856592), (126.9217559, 37.5849283), (126.9216308, 37.5849782)]"
school,"[(126.9222225, 37.5854975), (126.9223032, 37.5856075), (126.9227433, 37.5854049), (126.9226626, 37.5852949), (126.9222225, 37.5854975)]"
school,"[(126.9206773, 37.5848454), (126.9207053, 37.5850133), (126.9210158, 37.5849808), (126.9210055, 37.5849193), (126.9217812, 37.5848381), (126.9217635, 37.5847317), (126.9206773, 37.5848454)]"
school,"[(126.9183195, 37.5793918), (126.9193141, 37.5796542), (126.9193581, 37.5795449), (126.9183636, 37.5792825), (126.9183195, 37.5793918)]"
school,"[(126.9183319, 37.5802603), (126.9184242, 37.5803599), (126.9185837, 37.5802671), (126.9186207, 37.580307), (126.9187875, 37.5802098), (126.9187495, 37.5801689), (126.9188292, 37.5801225), (126.9187378, 37.5800239), (126.9183319, 37.5802603)]"
university,"[(126.9219672, 37.5802777), (126.9231088, 37.5803318), (126.9231214, 37.5801652), (126.9219797, 37.5801111), (126.9219672, 37.5802777)]"
university,"[(126.9237151, 37.5811131), (126.9239189, 37.5811172), (126.923939, 37.5804959), (126.9237351, 37.5804918), (126.9237151, 37.5811131)]"
university,"[(126.9240465, 37.5808615), (126.924107, 37.5810264), (126.9243372, 37.5810551), (126.9244009, 37.581025), (126.9245848, 37.5810314), (126.9246395, 37.581048), (126.9247717, 37.5810482), (126.9248227, 37.5809172), (126.9247847, 37.5808057), (126.9247818, 37.5807287), (126.9248609, 37.5806031), (126.9248031, 37.5804604), (126.924698, 37.5804279), (126.9245617, 37.580445), (126.9243381, 37.5804326), (126.9240796, 37.5805668), (126.9240933, 37.5807349), (126.9240465, 37.5808615)]"
university,"[(126.9239428, 37.5801412), (126.9241504, 37.5801499), (126.9243898, 37.5803096), (126.9245447, 37.5801638), (126.9242167, 37.5799449), (126.9239564, 37.5799341), (126.9239428, 37.5801412)]"
university,"[(126.9232471, 37.5804308), (126.9235809, 37.5804454), (126.9235953, 37.5802383), (126.9232615, 37.5802237), (126.9232471, 37.5804308)]"
university,"[(126.9226299, 37.5806649), (126.9228326, 37.580717), (126.9229753, 37.5808004), (126.9230663, 37.5809032), (126.9231232, 37.581033), (126.9231263, 37.581162), (126.9233066, 37.5811906), (126.9233225, 37.5811122), (126.9233209, 37.5810523), (126.9233127, 37.5809965), (126.9232735, 37.5809132), (126.9231981, 37.5808033), (126.9231316, 37.5807233), (126.9230386, 37.5806661), (126.9229386, 37.5806117), (126.9228116, 37.5805613), (126.92265, 37.5805322), (126.9226299, 37.5806649)]"
hospital,"[(126.9273795, 37.5975627), (126.9274235, 37.5977312), (126.9281532, 37.5976116), (126.9281092, 37.5974431), (126.9273795, 37.5975627)]"
hospital,"[(126.9234474, 37.5938439), (126.9237413, 37.5940377), (126.9235015, 37.5942624), (126.9236303, 37.5943368), (126.9237737, 37.5941963), (126.9239287, 37.5942957), (126.9240074, 37.5942187), (126.9238211, 37.5940993), (126.9240061, 37.5940801), (126.9239852, 37.5939534), (126.9237869, 37.5939739), (126.9239892, 37.5937759), (126.923861, 37.5936937), (126.9237204, 37.5938313), (126.9235633, 37.5937305), (126.9234474, 37.5938439)]"
school,"[(126.9270264, 37.5846252), (126.9271974, 37.584729), (126.9279027, 37.5839989), (126.9277316, 37.5838952), (126.9270264, 37.5846252)]"
school,"[(126.9264876, 37.5846858), (126.9270109, 37.5849541), (126.9271631, 37.5847677), (126.9266398, 37.5844994), (126.9264876, 37.5846858)]"
school,"[(126.9148794, 37.6108159), (126.9149618, 37.6109594), (126.9157552, 37.6106732), (126.9157312, 37.6106315), (126.9160392, 37.6105204), (126.916061, 37.6105584), (126.916301, 37.6104718), (126.9162107, 37.6103147), (126.9160781, 37.6103625), (126.9160977, 37.6103966), (126.915691, 37.6105432), (126.9156491, 37.6104703), (126.9155149, 37.6105187), (126.9155878, 37.6106456), (126.9150701, 37.6108323), (126.9150295, 37.6107618), (126.9148794, 37.6108159)]"
school,"[(126.9140995, 37.6099757), (126.9144536, 37.6106144), (126.9145563, 37.6105787), (126.9145912, 37.6106415), (126.9148143, 37.6105639), (126.9147129, 37.610381), (126.9145067, 37.6104528), (126.9142191, 37.6099341), (126.9140995, 37.6099757)]"
school,"[(126.9159922, 37.6099342), (126.9161914, 37.6102207), (126.9163904, 37.6101338), (126.9161912, 37.6098473), (126.9159922, 37.6099342)]"
hospital,"[(126.9683103, 37.5681523), (126.9685161, 37.5683824), (126.9687957, 37.5682254), (126.96859, 37.5679952), (126.9683103, 37.5681523)]"
hospital,"[(126.9677128, 37.5682932), (126.9677143, 37.5688106), (126.9681786, 37.5688098), (126.9681775, 37.5684254), (126.9679173, 37.5684259), (126.9679169, 37.5682929), (126.9677128, 37.5682932)]"
hospital,"[(126.967095, 37.5685571), (126.9675181, 37.5688002), (126.9676889, 37.5688064), (126.9676811, 37.5681848), (126.9674909, 37.5681848), (126.9674909, 37.5685018), (126.9672852, 37.5683971), (126.967095, 37.5685571)]"
hospital,"[(126.9666776, 37.5671529), (126.9668494, 37.5673535), (126.9673455, 37.5670866), (126.9671737, 37.566886), (126.9666776, 37.5671529)]"
hospital,"[(126.9668088, 37.567444), (126.9669561, 37.5676184), (126.9673592, 37.5674044), (126.9672119, 37.56723), (126.9668088, 37.567444)]"
university,"[(126.9660279, 37.5673989), (126.9662389, 37.5676195), (126.9665324, 37.5674432), (126.9664072, 37.5673122), (126.966557, 37.5672222), (126.9664713, 37.5671325), (126.9660279, 37.5673989)]"
university,"[(126.9242712, 37.5499447), (126.9249361, 37.5500261), (126.9249446, 37.5499824), (126.9248997, 37.5499769), (126.9249104, 37.5499219), (126.9242904, 37.549846), (126.9242712, 37.5499447)]"
school,"[(127.0209363, 37.5906773), (127.020954, 37.5908035), (127.0212159, 37.5907671), (127.0212018, 37.5906381), (127.0209363, 37.5906773)]"
school,"[(127.0227142, 37.5914314), (127.0227207, 37.5915702), (127.0231007, 37.591559), (127.0230943, 37.5914203), (127.0227142, 37.5914314)]"
school,"[(127.0227036, 37.5911318), (127.0227127, 37.5912796), (127.0231762, 37.5912617), (127.0231671, 37.5911139), (127.0227036, 37.5911318)]"
school,"[(127.0226841, 37.5908002), (127.0226871, 37.5909708), (127.0229917, 37.5909674), (127.0229886, 37.5907968), (127.0226841, 37.5908002)]"
school,"[(127.0223953, 37.5900818), (127.0224713, 37.5907909), (127.0226466, 37.5907791), (127.0225897, 37.5902486), (127.0227759, 37.590236), (127.0227697, 37.5901781), (127.0228298, 37.5901697), (127.0228268, 37.5901999), (127.0229214, 37.5901937), (127.0229621, 37.5905832), (127.0230433, 37.5905753), (127.0230178, 37.5901242), (127.0227905, 37.5901517), (127.0227803, 37.5900559), (127.0223953, 37.5900818)]"
school,"[(127.0231068, 37.5901847), (127.0231151, 37.5903293), (127.0234709, 37.5903166), (127.0234672, 37.5902526), (127.0234184, 37.5902544), (127.0234138, 37.5901737), (127.0231068, 37.5901847)]"
school,"[(127.0210234, 37.5921164), (127.0210841, 37.5925345), (127.0212242, 37.5925197), (127.0211728, 37.5920979), (127.0210234, 37.5921164)]"
school,"[(126.953907, 37.6012324), (126.9541477, 37.6012622), (126.9547658, 37.6009237), (126.9546672, 37.6008107), (126.9542041, 37.6010612), (126.9541273, 37.6011015), (126.9539383, 37.6010736), (126.953907, 37.6012324)]"
school,"[(126.9390862, 37.5826099), (126.9391428, 37.5829007), (126.9392316, 37.5828898), (126.9392438, 37.582953), (126.9403412, 37.5828189), (126.9403222, 37.5827211), (126.940446, 37.5827059), (126.9404006, 37.5824726), (126.9402775, 37.5824876), (126.9403187, 37.5826995), (126.9392857, 37.5828257), (126.93925, 37.582642), (126.9393523, 37.5826295), (126.9393314, 37.5825222), (126.9392063, 37.5825374), (126.9392173, 37.5825939), (126.9390862, 37.5826099)]"
school,"[(126.9477199, 37.5487741), (126.9477596, 37.5488627), (126.9482581, 37.5487224), (126.9482729, 37.5487554), (126.9484601, 37.5487027), (126.9484475, 37.5486747), (126.9484749, 37.548666), (126.948551, 37.5486451), (126.9487489, 37.5485899), (126.9487687, 37.5486342), (126.9489511, 37.5485829), (126.9489301, 37.548536), (126.9490538, 37.5485012), (126.9490129, 37.54841), (126.9488511, 37.5484583), (126.9488101, 37.5484693), (126.9477199, 37.5487741)]"
school,"[(126.9483313, 37.5502083), (126.9483563, 37.5502627), (126.9486008, 37.5501921), (126.9485654, 37.5501149), (126.9483579, 37.5501748), (126.9483684, 37.5501976), (126.9483313, 37.5502083)]"
school,"[(126.9693315, 37.5431017), (126.9694213, 37.5431146), (126.9694336, 37.5431321), (126.9693928, 37.5433341), (126.9696021, 37.5433607), (126.969615, 37.543297), (126.9698648, 37.5433289), (126.9698997, 37.5431575), (126.9696424, 37.5431246), (126.9696454, 37.5431105), (126.9698289, 37.5425188), (126.9697104, 37.5424957), (126.9696766, 37.5426043), (126.9694707, 37.5426669), (126.9694245, 37.5426923), (126.9693315, 37.5431017)]"
school,"[(126.9698838, 37.5433248), (126.9705108, 37.5433415), (126.9705155, 37.543245), (126.9699535, 37.5432278), (126.9699019, 37.5432262), (126.9698838, 37.5433248)]"
school,"[(126.9699787, 37.5426174), (126.9704143, 37.5427827), (126.9704152, 37.5428802), (126.9705514, 37.5428821), (126.970554, 37.5427888), (126.9705839, 37.542791), (126.9705853, 37.5426881), (126.9703, 37.5426521), (126.9700688, 37.5425483), (126.9699787, 37.5426174)]"
church,"[(126.9565064, 37.5248965), (126.9569391, 37.5252335), (126.9572353, 37.5249944), (126.9568026, 37.5246573), (126.9565064, 37.5248965)]"
hotel,"[(126.9961801, 37.5393844), (126.9969388, 37.5399896), (126.9969998, 37.539938), (126.9970811, 37.5399831), (126.9973358, 37.5397508), (126.9977814, 37.5399604), (126.9979333, 37.5397878), (126.9980637, 37.5398412), (126.9981543, 37.5397294), (126.9980285, 37.5396703), (126.9981925, 37.5394027), (126.9979541, 37.5393019), (126.9979171, 37.5393395), (126.9972982, 37.5389556), (126.9971629, 37.5390274), (126.9969851, 37.5387629), (126.9968205, 37.5388361), (126.9967422, 37.5387732), (126.9964772, 37.5389182), (126.9965324, 37.5389716), (126.9963898, 37.539048), (126.9964962, 37.5392167), (126.9961801, 37.5393844)]"
hospital,"[(127.0038754, 37.5337245), (127.0038883, 37.5338637), (127.0046841, 37.5338175), (127.0046713, 37.5336783), (127.0038754, 37.5337245)]"
hospital,"[(127.0036999, 37.5334858), (127.0037154, 37.5336565), (127.0039739, 37.5336418), (127.0039584, 37.533471), (127.0036999, 37.5334858)]"
hospital,"[(127.003869, 37.534087), (127.0038844, 37.534243), (127.0044678, 37.5342066), (127.0044523, 37.5340513), (127.004252, 37.5340638), (127.0042397, 37.5339408), (127.004034, 37.5339536), (127.0040462, 37.5340759), (127.003869, 37.534087)]"
hospital,"[(127.0048002, 37.5335666), (127.0048218, 37.5337753), (127.0053565, 37.5337405), (127.0053434, 37.5336142), (127.005155, 37.5336265), (127.0051465, 37.533544), (127.0048002, 37.5335666)]"
hospital,"[(127.0048802, 37.5341255), (127.0048917, 37.5342204), (127.0053674, 37.5341843), (127.0053566, 37.5340953), (127.0052142, 37.5341061), (127.0052053, 37.5340321), (127.0053889, 37.5340182), (127.0053731, 37.5338874), (127.0049151, 37.5339221), (127.0049391, 37.534121), (127.0048802, 37.5341255)]"
school,"[(126.8330774, 37.5541066), (126.8331014, 37.5542553), (126.8337782, 37.5541865), (126.8337541, 37.5540379), (126.8330774, 37.5541066)]"
school,"[(126.8338876, 37.5537754), (126.8339405, 37.5540755), (126.8340269, 37.5540659), (126.834034, 37.5541059), (126.8347052, 37.5540315), (126.8346984, 37.5539932), (126.8347913, 37.5539829), (126.8347626, 37.5538203), (126.8345198, 37.5538472), (126.8345372, 37.5539458), (126.8341679, 37.5539868), (126.834126, 37.553749), (126.8338876, 37.5537754)]"
school,"[(126.8347043, 37.5534101), (126.8347191, 37.553513), (126.8352899, 37.5534613), (126.8352664, 37.5532977), (126.8347491, 37.5533445), (126.8347579, 37.5534053), (126.8347043, 37.5534101)]"
school,"[(126.8350907, 37.5539056), (126.8351048, 37.5540006), (126.8357648, 37.5539389), (126.8357561, 37.5538808), (126.8358016, 37.5538765), (126.8357917, 37.5538097), (126.8357427, 37.5538143), (126.8357386, 37.5537867), (126.8355376, 37.5538055), (126.8355462, 37.5538629), (126.8350907, 37.5539056)]"
hospital,"[(126.8326376, 37.5121996), (126.8334996, 37.5124283), (126.8336761, 37.5118402), (126.833173, 37.5117072), (126.8332083, 37.5115859), (126.832973, 37.5114855), (126.8327965, 37.5118426), (126.8326376, 37.5121996)]"
kindergarten,"[(126.9106702, 37.6132981), (126.9106769, 37.6134093), (126.9107433, 37.6134068), (126.9107422, 37.6133879), (126.9107896, 37.6133759), (126.9107846, 37.6132938), (126.9106702, 37.6132981)]"
kindergarten,"[(126.9098588, 37.6134931), (126.909866, 37.6135761), (126.9099661, 37.6135706), (126.9099589, 37.6134876), (126.9098588, 37.6134931)]"
school,"[(127.1574495, 37.4573025), (127.1575904, 37.4573541), (127.1576148, 37.4573232), (127.1576852, 37.4573502), (127.1576791, 37.4573593), (127.1577547, 37.4573911), (127.1577955, 37.4573346), (127.1578908, 37.4573781), (127.1578776, 37.4573972), (127.1579191, 37.4574161), (127.157912, 37.4574267), (127.1579555, 37.4574503), (127.1579423, 37.4574675), (127.1580443, 37.457509), (127.158131, 37.4573766), (127.1575716, 37.4571434), (127.1574495, 37.4573025)]"
school,"[(127.1577679, 37.4569474), (127.1579137, 37.4570141), (127.1579607, 37.4569494), (127.1580455, 37.4569881), (127.1580088, 37.4570387), (127.1581471, 37.457102), (127.1581871, 37.4570468), (127.1583759, 37.4571331), (127.1584365, 37.4570497), (127.1578788, 37.4567947), (127.1577679, 37.4569474)]"
train_station,"[(127.0507056, 37.5625504), (127.0507614, 37.5625669), (127.0511479, 37.5617495), (127.0510922, 37.5617329), (127.0507056, 37.5625504)]"
school,"[(126.7781312, 37.4347718), (126.7781419, 37.4348911), (126.7784208, 37.4348996), (126.7784155, 37.435087), (126.7781419, 37.4350828), (126.7781312, 37.4355215), (126.778394, 37.4355215), (126.7784101, 37.4352063), (126.779086, 37.4351935), (126.779086, 37.4350998), (126.7785496, 37.4350785), (126.7785281, 37.4348996), (126.7788607, 37.4348868), (126.7788554, 37.4347846), (126.7781312, 37.4347718)]"
school,"[(126.7773938, 37.4401371), (126.7776084, 37.4402606), (126.7775762, 37.4403032), (126.7776996, 37.4403756), (126.7777479, 37.4403458), (126.7777854, 37.4403799), (126.7778659, 37.4403202), (126.7778283, 37.440299), (126.7779142, 37.4402223), (126.7778444, 37.4401882), (126.7779302, 37.4401328), (126.7781073, 37.4402521), (126.7781556, 37.4402223), (126.7782146, 37.4402734), (126.7784238, 37.4400945), (126.7784077, 37.4400519), (126.7785096, 37.4399497), (126.7784452, 37.4399156), (126.7784828, 37.4398773), (126.7782521, 37.4397282), (126.7781556, 37.4398262), (126.7783701, 37.4399795), (126.7781931, 37.4401158), (126.7779571, 37.4399795), (126.7776996, 37.440201), (126.7774796, 37.4400562), (126.7773938, 37.4401371)]"
university,"[(127.0308134, 37.5868348), (127.0309539, 37.586843), (127.0309799, 37.5867888), (127.0310027, 37.5868108), (127.0310727, 37.5867953), (127.0310923, 37.5868112), (127.0311346, 37.5867785), (127.03112, 37.586754), (127.0311835, 37.586714), (127.0311916, 37.5866559), (127.0312633, 37.5866185), (127.0312753, 37.5864892), (127.0310037, 37.5864733), (127.0309917, 37.5866014), (127.0308808, 37.5865949), (127.0308767, 37.5866384), (127.0308319, 37.5866358), (127.0308134, 37.5868348)]"
school,"[(126.7656197, 37.6817261), (126.7656804, 37.6818105), (126.7657189, 37.6817932), (126.7657448, 37.6818294), (126.765799, 37.681805), (126.7658142, 37.6818262), (126.7658539, 37.6818084), (126.7658093, 37.6817462), (126.7659427, 37.6816862), (126.765987, 37.6817479), (126.7662071, 37.6816489), (126.7661667, 37.6815926), (126.7663422, 37.6815137), (126.7663816, 37.6815684), (126.7665159, 37.681508), (126.7664148, 37.6813672), (126.7661439, 37.6814891), (126.7661349, 37.6814765), (126.7658642, 37.6815983), (126.7658739, 37.6816118), (126.7656197, 37.6817261)]"
church,"[(126.768268, 37.6814848), (126.768347, 37.6816198), (126.7686781, 37.6814825), (126.7685949, 37.6813592), (126.768268, 37.6814848)]"
train_station,"[(127.0666194, 37.6007744), (127.0666547, 37.6008454), (127.0666861, 37.6008355), (127.0666715, 37.6008061), (127.0666843, 37.6008021), (127.0666993, 37.6008323), (127.0667202, 37.6008258), (127.0666845, 37.600754), (127.0666194, 37.6007744)]"
school,"[(126.9675617, 37.5420211), (126.9676207, 37.5422314), (126.9681672, 37.5421441), (126.9680995, 37.5419341), (126.9675617, 37.5420211)]"
school,"[(126.965858, 37.5426638), (126.9658826, 37.5427977), (126.9662077, 37.5427601), (126.966183, 37.5426262), (126.965858, 37.5426638)]"
school,"[(126.9658244, 37.543034), (126.9658572, 37.5431448), (126.9658606, 37.5431626), (126.9659577, 37.5431475), (126.9659558, 37.5431199), (126.9662404, 37.5430724), (126.966246, 37.5431089), (126.9663232, 37.5431005), (126.966319, 37.5430654), (126.9664672, 37.5430457), (126.9664579, 37.5429783), (126.9664551, 37.5429664), (126.966453, 37.542953), (126.9663979, 37.542962), (126.9663921, 37.542935), (126.9658244, 37.543034)]"
school,"[(126.9655048, 37.5426382), (126.965631, 37.5432181), (126.9657482, 37.5432053), (126.96574, 37.5431613), (126.965625, 37.5426167), (126.9655048, 37.5426382)]"
school,"[(126.9664377, 37.5427459), (126.9664621, 37.5428543), (126.9664652, 37.5428672), (126.9664732, 37.5428942), (126.9669826, 37.5428307), (126.9669943, 37.5428807), (126.967117, 37.5428631), (126.9671082, 37.5428265), (126.9677019, 37.5427381), (126.967668, 37.5425813), (126.9675411, 37.5426047), (126.9675536, 37.5426555), (126.9674344, 37.5426728), (126.967123, 37.5427132), (126.9670995, 37.5426128), (126.9669787, 37.5426286), (126.9670011, 37.5427225), (126.9665819, 37.5427789), (126.9665675, 37.5427256), (126.9664377, 37.5427459)]"
church,"[(126.7785478, 37.4925578), (126.7786148, 37.4928217), (126.7787543, 37.4928025), (126.7786935, 37.4925335), (126.7785478, 37.4925578)]"
school,"[(127.0265218, 37.6566713), (127.0271751, 37.6566786), (127.0271766, 37.6565953), (127.0273774, 37.6565975), (127.0273808, 37.6564085), (127.0267485, 37.6564014), (127.0267558, 37.6559906), (127.026534, 37.6559882), (127.0265218, 37.6566713)]"
school,"[(127.026004, 37.6556659), (127.026743, 37.655672), (127.0267394, 37.6559483), (127.0270173, 37.6559506), (127.0270221, 37.6555824), (127.0268838, 37.6555057), (127.0260062, 37.6554985), (127.026004, 37.6556659)]"
school,"[(127.0259172, 37.6553101), (127.0259799, 37.6553123), (127.0266241, 37.655354), (127.026633, 37.65516), (127.026108, 37.6551265), (127.0261498, 37.6545413), (127.0259551, 37.6545268), (127.0259172, 37.6553101)]"
school,"[(127.0258398, 37.6543411), (127.026429, 37.6543682), (127.0263948, 37.654834), (127.0267393, 37.6548499), (127.0267797, 37.6542992), (127.0268557, 37.6543027), (127.0268695, 37.6541141), (127.0265423, 37.6540991), (127.026535, 37.6541992), (127.0258525, 37.6541678), (127.0258398, 37.6543411)]"
school,"[(127.0218593, 37.658469), (127.0220582, 37.6584721), (127.0220751, 37.658539), (127.0221359, 37.658531), (127.0221359, 37.658646), (127.0222406, 37.6586486), (127.0222744, 37.6584882), (127.022369, 37.6584989), (127.0223589, 37.658547), (127.0224661, 37.6585466), (127.0224704, 37.6584935), (127.0226292, 37.6584882), (127.0226292, 37.6582501), (127.0224839, 37.6582474), (127.0224873, 37.6583705), (127.0220447, 37.6583651), (127.0220683, 37.6579024), (127.0218843, 37.6578993), (127.0218593, 37.658469)]"
school,"[(127.0219012, 37.6575142), (127.0219096, 37.6578249), (127.022065, 37.6578356), (127.0220683, 37.6577152), (127.0225717, 37.6577339), (127.0225852, 37.6575333), (127.0219012, 37.6575142)]"
college,"[(126.7778241, 37.4902445), (126.77797, 37.490764), (126.7783185, 37.4907049), (126.7781964, 37.4901908), (126.7778241, 37.4902445)]"
college,"[(126.7783107, 37.4905175), (126.778329, 37.4906024), (126.7784364, 37.4905879), (126.7784508, 37.4906552), (126.7790687, 37.4905716), (126.7790582, 37.4905223), (126.7791557, 37.4905092), (126.7791335, 37.4904062), (126.7783107, 37.4905175)]"
college,"[(126.7791425, 37.4903909), (126.7791784, 37.4905436), (126.7792597, 37.4905316), (126.7792475, 37.4904796), (126.7795368, 37.4904368), (126.7795474, 37.4904822), (126.7797036, 37.4904591), (126.7796928, 37.4904129), (126.7800315, 37.4903628), (126.780041, 37.4904032), (126.7800983, 37.4903948), (126.7800654, 37.4902545), (126.7791425, 37.4903909)]"
kindergarten,"[(127.0324029, 37.4627238), (127.0325551, 37.4628523), (127.0326755, 37.4627638), (127.0325206, 37.4626311), (127.0324029, 37.4627238)]"
university,"[(126.777686, 37.4896673), (126.7778241, 37.4902445), (126.7781964, 37.4901908), (126.778069, 37.4896117), (126.777686, 37.4896673)]"
university,"[(126.7775472, 37.4890663), (126.777686, 37.4896673), (126.778069, 37.4896117), (126.7779302, 37.4890106), (126.7775472, 37.4890663)]"
university,"[(126.7774728, 37.488836), (126.7775472, 37.4890663), (126.7786148, 37.4889043), (126.7785525, 37.4886593), (126.7774728, 37.488836)]"
university,"[(126.7788474, 37.488611), (126.7789862, 37.4886918), (126.7794519, 37.4886167), (126.7796021, 37.4892021), (126.7797273, 37.4891819), (126.7795517, 37.4884973), (126.7788474, 37.488611)]"
school,"[(126.8863011, 37.5352759), (126.8873204, 37.5355621), (126.88737, 37.5354386), (126.8867252, 37.5352586), (126.8865814, 37.5352185), (126.8863648, 37.535158), (126.8863011, 37.5352759)]"
school,"[(126.8863675, 37.5348772), (126.8863912, 37.5349976), (126.8865822, 37.5349741), (126.8866204, 37.5349694), (126.8866564, 37.5349649), (126.8867789, 37.5349498), (126.8875558, 37.5348536), (126.8875321, 37.5347332), (126.8863675, 37.5348772)]"
school,"[(126.8988008, 37.4488093), (126.8988839, 37.4489851), (126.8990088, 37.4492494), (126.8991667, 37.4495835), (126.8992268, 37.4495657), (126.8992973, 37.4495451), (126.8992656, 37.4494765), (126.8993006, 37.4494663), (126.8992829, 37.449428), (126.8992461, 37.4494383), (126.8992233, 37.4493855), (126.8992631, 37.4493988), (126.8992748, 37.4493946), (126.8992953, 37.4493797), (126.8993026, 37.4493644), (126.899287, 37.4493314), (126.8993114, 37.4493241), (126.8992022, 37.449093), (126.8992461, 37.4490834), (126.8992551, 37.4491207), (126.8993055, 37.4491155), (126.8992794, 37.448985), (126.8992258, 37.4489921), (126.8992355, 37.4490361), (126.8991816, 37.4490437), (126.8990351, 37.4487395), (126.8988008, 37.4488093)]"
kindergarten,"[(126.9160985, 37.4858784), (126.9162134, 37.4858988), (126.916244, 37.4857738), (126.9161369, 37.4857545), (126.9160985, 37.4858784)]"
university,"[(126.798698, 37.4868755), (126.7993604, 37.4870476), (126.7994655, 37.486793), (126.798803, 37.4866209), (126.798698, 37.4868755)]"
university,"[(126.9362699, 37.5646872), (126.9363198, 37.5648355), (126.9364846, 37.5648006), (126.9364778, 37.5647805), (126.9367272, 37.5647277), (126.9368683, 37.5651467), (126.937061, 37.5651059), (126.9368768, 37.5645588), (126.9362699, 37.5646872)]"
university,"[(126.9363016, 37.5644509), (126.9363385, 37.5645547), (126.9365184, 37.5645147), (126.9364815, 37.5644108), (126.9363016, 37.5644509)]"
school,"[(127.1496281, 37.5501789), (127.1496662, 37.5504086), (127.1502004, 37.5503785), (127.1505571, 37.5503573), (127.151099, 37.5503488), (127.1511258, 37.5502467), (127.1510936, 37.5502297), (127.1510963, 37.5499107), (127.1510426, 37.5499086), (127.1510453, 37.5498278), (127.151056, 37.5497959), (127.151128, 37.5498), (127.1510919, 37.5493695), (127.1509564, 37.5493527), (127.1509918, 37.5494453), (127.1509387, 37.5494481), (127.1508963, 37.5495099), (127.1508856, 37.5496109), (127.1509281, 37.5496979), (127.1509883, 37.5497007), (127.1509918, 37.5497933), (127.1509706, 37.5499083), (127.1499265, 37.549942), (127.1499301, 37.5500234), (127.150376, 37.5500318), (127.1503831, 37.5500795), (127.1504928, 37.5500851), (127.1504999, 37.5500234), (127.1509635, 37.5500149), (127.150967, 37.5502282), (127.1505353, 37.550231), (127.150514, 37.5503124), (127.1501849, 37.5503039), (127.1501849, 37.5501777), (127.1496281, 37.5501789)]"
school,"[(126.9250987, 37.6437865), (126.9252721, 37.6438808), (126.9252137, 37.6439481), (126.9253946, 37.6440466), (126.9254588, 37.6439726), (126.9255661, 37.644031), (126.9259834, 37.6435502), (126.9255148, 37.6432951), (126.9254253, 37.6433982), (126.9257629, 37.6435819), (126.9256853, 37.6436712), (126.9253586, 37.6434934), (126.9252782, 37.643586), (126.9255841, 37.6437525), (126.9255262, 37.6438192), (126.9252166, 37.6436507), (126.9250987, 37.6437865)]"
school,"[(126.7738076, 37.6762668), (126.7741407, 37.6767506), (126.7741047, 37.6767661), (126.7742169, 37.6769292), (126.7742453, 37.6769169), (126.7742667, 37.6769481), (126.7742808, 37.676942), (126.7743855, 37.6770946), (126.7744718, 37.6770575), (126.7744436, 37.6770163), (126.7745379, 37.6769758), (126.7740182, 37.6762178), (126.7739723, 37.6762374), (126.7739577, 37.6762161), (126.7739014, 37.6762403), (126.7738908, 37.6762309), (126.7738076, 37.6762668)]"
university,"[(127.0245054, 37.5854609), (127.024569, 37.5859695), (127.0247802, 37.5860662), (127.0248876, 37.585919), (127.0247942, 37.5858762), (127.0247773, 37.5855301), (127.0248179, 37.5854736), (127.024575, 37.585364), (127.0245054, 37.5854609)]"
school,"[(127.0237128, 37.4720911), (127.0241286, 37.4723891), (127.0242037, 37.4723018), (127.0239837, 37.4721294), (127.0241286, 37.4720187), (127.0245148, 37.4722848), (127.0246087, 37.4721847), (127.0240776, 37.4717909), (127.0237128, 37.4720911)]"
school,"[(126.7818215, 37.4965292), (126.7818653, 37.4967034), (126.7820365, 37.4966764), (126.7820198, 37.4966098), (126.7824516, 37.4965416), (126.7824676, 37.4966055), (126.7826169, 37.4965819), (126.7826004, 37.4965163), (126.7830038, 37.4964525), (126.7828475, 37.4958298), (126.782584, 37.4958714), (126.78268, 37.4962539), (126.7827844, 37.4962374), (126.7828181, 37.4963717), (126.7818215, 37.4965292)]"
school,"[(126.7610872, 37.6778066), (126.7611814, 37.6779449), (126.7613315, 37.6778809), (126.7613501, 37.6779082), (126.7621026, 37.6775874), (126.7619898, 37.6774217), (126.7615967, 37.6775893), (126.7615502, 37.677521), (126.7614246, 37.6775745), (126.7614711, 37.6776429), (126.7610872, 37.6778066)]"
school,"[(126.7614162, 37.6769257), (126.7616157, 37.6772144), (126.7618263, 37.6771233), (126.7616269, 37.6768345), (126.7614162, 37.6769257)]"
school,"[(126.7608514, 37.6775382), (126.7609721, 37.6777126), (126.7610812, 37.6776654), (126.7609606, 37.6774909), (126.7608514, 37.6775382)]"
school,"[(126.7669253, 37.6746884), (126.7671774, 37.6750381), (126.7672671, 37.6749975), (126.7674668, 37.6752747), (126.7675806, 37.6752234), (126.7670325, 37.6744627), (126.7669285, 37.6745097), (126.7670249, 37.6746436), (126.7669253, 37.6746884)]"
school,"[(126.7711984, 37.6725139), (126.7717993, 37.6733873), (126.7720252, 37.6732899), (126.7715994, 37.6726709), (126.7715665, 37.6726232), (126.7714244, 37.6724165), (126.7711984, 37.6725139)]"
